group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=128,binary map,50,,,958391.0,ns,112806
size=128,binary map,50,,,1916586.0,ns,225612
size=128,binary map,50,,,2884407.0,ns,338418
size=128,binary map,50,,,3857286.0,ns,451224
size=128,binary map,50,,,4799469.0,ns,564030
size=128,binary map,50,,,5749711.0,ns,676836
size=128,binary map,50,,,6710081.0,ns,789642
size=128,binary map,50,,,7668340.0,ns,902448
size=128,binary map,50,,,8624549.0,ns,1015254
size=128,binary map,50,,,9594186.0,ns,1128060
size=128,binary map,50,,,10543816.0,ns,1240866
size=128,binary map,50,,,11505567.0,ns,1353672
size=128,binary map,50,,,12459991.0,ns,1466478
size=128,binary map,50,,,13434067.0,ns,1579284
size=128,binary map,50,,,14378524.0,ns,1692090
size=128,binary map,50,,,15474131.0,ns,1804896
size=128,binary map,50,,,16349833.0,ns,1917702
size=128,binary map,50,,,17253557.0,ns,2030508
size=128,binary map,50,,,18347017.0,ns,2143314
size=128,binary map,50,,,19200049.0,ns,2256120
size=128,binary map,50,,,20128239.0,ns,2368926
size=128,binary map,50,,,21108890.0,ns,2481732
size=128,binary map,50,,,22047458.0,ns,2594538
size=128,binary map,50,,,23002910.0,ns,2707344
size=128,binary map,50,,,23972330.0,ns,2820150
size=128,binary map,50,,,24921633.0,ns,2932956
size=128,binary map,50,,,25880350.0,ns,3045762
size=128,binary map,50,,,26852047.0,ns,3158568
size=128,binary map,50,,,27888230.0,ns,3271374
size=128,binary map,50,,,28785625.0,ns,3384180
size=128,binary map,50,,,29712909.0,ns,3496986
size=128,binary map,50,,,30712239.0,ns,3609792
size=128,binary map,50,,,32146654.0,ns,3722598
size=128,binary map,50,,,32595251.0,ns,3835404
size=128,binary map,50,,,33583260.0,ns,3948210
size=128,binary map,50,,,34521510.0,ns,4061016
size=128,binary map,50,,,35587017.0,ns,4173822
size=128,binary map,50,,,36490272.0,ns,4286628
size=128,binary map,50,,,37636767.0,ns,4399434
size=128,binary map,50,,,38442408.0,ns,4512240
size=128,binary map,50,,,39371270.0,ns,4625046
size=128,binary map,50,,,40255578.0,ns,4737852
size=128,binary map,50,,,41277017.0,ns,4850658
size=128,binary map,50,,,42172023.0,ns,4963464
size=128,binary map,50,,,43186201.0,ns,5076270
size=128,binary map,50,,,44242812.0,ns,5189076
size=128,binary map,50,,,45074689.0,ns,5301882
size=128,binary map,50,,,46415657.0,ns,5414688
size=128,binary map,50,,,47089646.0,ns,5527494
size=128,binary map,50,,,47950695.0,ns,5640300
size=128,binary map,50,,,48902480.0,ns,5753106
size=128,binary map,50,,,49896428.0,ns,5865912
size=128,binary map,50,,,50846374.0,ns,5978718
size=128,binary map,50,,,51796604.0,ns,6091524
size=128,binary map,50,,,52714706.0,ns,6204330
size=128,binary map,50,,,53802442.0,ns,6317136
size=128,binary map,50,,,54898243.0,ns,6429942
size=128,binary map,50,,,57206008.0,ns,6542748
size=128,binary map,50,,,57857042.0,ns,6655554
size=128,binary map,50,,,57539572.0,ns,6768360
size=128,binary map,50,,,58489400.0,ns,6881166
size=128,binary map,50,,,59424361.0,ns,6993972
size=128,binary map,50,,,60396445.0,ns,7106778
size=128,binary map,50,,,61347292.0,ns,7219584
size=128,binary map,50,,,62309088.0,ns,7332390
size=128,binary map,50,,,63546988.0,ns,7445196
size=128,binary map,50,,,64376141.0,ns,7558002
size=128,binary map,50,,,65217380.0,ns,7670808
size=128,binary map,50,,,66146948.0,ns,7783614
size=128,binary map,50,,,67106227.0,ns,7896420
size=128,binary map,50,,,68116614.0,ns,8009226
size=128,binary map,50,,,69323277.0,ns,8122032
size=128,binary map,50,,,71026021.0,ns,8234838
size=128,binary map,50,,,72589206.0,ns,8347644
size=128,binary map,50,,,73430615.0,ns,8460450
size=128,binary map,50,,,74442546.0,ns,8573256
size=128,binary map,50,,,75337297.0,ns,8686062
size=128,binary map,50,,,76315216.0,ns,8798868
size=128,binary map,50,,,77059295.0,ns,8911674
size=128,binary map,50,,,76853182.0,ns,9024480
size=128,binary map,50,,,77891427.0,ns,9137286
size=128,binary map,50,,,78660619.0,ns,9250092
size=128,binary map,50,,,79608526.0,ns,9362898
size=128,binary map,50,,,80595216.0,ns,9475704
size=128,binary map,50,,,81584564.0,ns,9588510
size=128,binary map,50,,,82553722.0,ns,9701316
size=128,binary map,50,,,83540667.0,ns,9814122
size=128,binary map,50,,,84486062.0,ns,9926928
size=128,binary map,50,,,85325486.0,ns,10039734
size=128,binary map,50,,,86294532.0,ns,10152540
size=128,binary map,50,,,87228550.0,ns,10265346
size=128,binary map,50,,,86495606.0,ns,10378152
size=128,binary map,50,,,88226303.0,ns,10490958
size=128,binary map,50,,,90115706.0,ns,10603764
size=128,binary map,50,,,91098069.0,ns,10716570
size=128,binary map,50,,,92054880.0,ns,10829376
size=128,binary map,50,,,93173824.0,ns,10942182
size=128,binary map,50,,,94033271.0,ns,11054988
size=128,binary map,50,,,95152212.0,ns,11167794
size=128,binary map,50,,,95993663.0,ns,11280600
