group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=128,kv map,10,,,949936.0,ns,175132
size=128,kv map,10,,,1900163.0,ns,350264
size=128,kv map,10,,,2869552.0,ns,525396
size=128,kv map,10,,,3803838.0,ns,700528
size=128,kv map,10,,,4773119.0,ns,875660
size=128,kv map,10,,,5699212.0,ns,1050792
size=128,kv map,10,,,6661058.0,ns,1225924
size=128,kv map,10,,,7611123.0,ns,1401056
size=128,kv map,10,,,8556097.0,ns,1576188
size=128,kv map,10,,,9557230.0,ns,1751320
size=128,kv map,10,,,10512446.0,ns,1926452
size=128,kv map,10,,,11462936.0,ns,2101584
size=128,kv map,10,,,12371347.0,ns,2276716
size=128,kv map,10,,,13316179.0,ns,2451848
size=128,kv map,10,,,14271119.0,ns,2626980
size=128,kv map,10,,,15216747.0,ns,2802112
size=128,kv map,10,,,16171454.0,ns,2977244
size=128,kv map,10,,,16945001.0,ns,3152376
size=128,kv map,10,,,18116072.0,ns,3327508
size=128,kv map,10,,,19026757.0,ns,3502640
size=128,kv map,10,,,19971038.0,ns,3677772
size=128,kv map,10,,,20928215.0,ns,3852904
size=128,kv map,10,,,21870709.0,ns,4028036
size=128,kv map,10,,,22876613.0,ns,4203168
size=128,kv map,10,,,23776856.0,ns,4378300
size=128,kv map,10,,,24697196.0,ns,4553432
size=128,kv map,10,,,25271760.0,ns,4728564
size=128,kv map,10,,,26267655.0,ns,4903696
size=128,kv map,10,,,26832664.0,ns,5078828
size=128,kv map,10,,,27896199.0,ns,5253960
size=128,kv map,10,,,28829427.0,ns,5429092
size=128,kv map,10,,,30418109.0,ns,5604224
size=128,kv map,10,,,31571661.0,ns,5779356
size=128,kv map,10,,,32162811.0,ns,5954488
size=128,kv map,10,,,33288763.0,ns,6129620
size=128,kv map,10,,,34157401.0,ns,6304752
size=128,kv map,10,,,35229123.0,ns,6479884
size=128,kv map,10,,,36143846.0,ns,6655016
size=128,kv map,10,,,37098824.0,ns,6830148
size=128,kv map,10,,,38101739.0,ns,7005280
size=128,kv map,10,,,39000395.0,ns,7180412
size=128,kv map,10,,,39947758.0,ns,7355544
size=128,kv map,10,,,41472054.0,ns,7530676
size=128,kv map,10,,,41948413.0,ns,7705808
size=128,kv map,10,,,42803933.0,ns,7880940
size=128,kv map,10,,,43765220.0,ns,8056072
size=128,kv map,10,,,43947984.0,ns,8231204
size=128,kv map,10,,,44606294.0,ns,8406336
size=128,kv map,10,,,45402657.0,ns,8581468
size=128,kv map,10,,,46411984.0,ns,8756600
size=128,kv map,10,,,47666124.0,ns,8931732
size=128,kv map,10,,,49462364.0,ns,9106864
size=128,kv map,10,,,50410888.0,ns,9281996
size=128,kv map,10,,,51451925.0,ns,9457128
size=128,kv map,10,,,52090561.0,ns,9632260
size=128,kv map,10,,,53024957.0,ns,9807392
size=128,kv map,10,,,54296954.0,ns,9982524
size=128,kv map,10,,,54926481.0,ns,10157656
size=128,kv map,10,,,55972045.0,ns,10332788
size=128,kv map,10,,,55765646.0,ns,10507920
size=128,kv map,10,,,56804321.0,ns,10683052
size=128,kv map,10,,,57642375.0,ns,10858184
size=128,kv map,10,,,59737768.0,ns,11033316
size=128,kv map,10,,,60864574.0,ns,11208448
size=128,kv map,10,,,61855297.0,ns,11383580
size=128,kv map,10,,,62624295.0,ns,11558712
size=128,kv map,10,,,63734894.0,ns,11733844
size=128,kv map,10,,,64689954.0,ns,11908976
size=128,kv map,10,,,65634178.0,ns,12084108
size=128,kv map,10,,,66581956.0,ns,12259240
size=128,kv map,10,,,66647871.0,ns,12434372
size=128,kv map,10,,,66920998.0,ns,12609504
size=128,kv map,10,,,67876318.0,ns,12784636
size=128,kv map,10,,,70401125.0,ns,12959768
size=128,kv map,10,,,71374577.0,ns,13134900
size=128,kv map,10,,,72361331.0,ns,13310032
size=128,kv map,10,,,73249654.0,ns,13485164
size=128,kv map,10,,,72913459.0,ns,13660296
size=128,kv map,10,,,75230381.0,ns,13835428
size=128,kv map,10,,,76238176.0,ns,14010560
size=128,kv map,10,,,76806568.0,ns,14185692
size=128,kv map,10,,,77997514.0,ns,14360824
size=128,kv map,10,,,78951668.0,ns,14535956
size=128,kv map,10,,,79938676.0,ns,14711088
size=128,kv map,10,,,80840631.0,ns,14886220
size=128,kv map,10,,,80080014.0,ns,15061352
size=128,kv map,10,,,81019637.0,ns,15236484
size=128,kv map,10,,,83752224.0,ns,15411616
size=128,kv map,10,,,84615136.0,ns,15586748
size=128,kv map,10,,,85506519.0,ns,15761880
size=128,kv map,10,,,87221085.0,ns,15937012
size=128,kv map,10,,,87522772.0,ns,16112144
size=128,kv map,10,,,88321164.0,ns,16287276
size=128,kv map,10,,,89357780.0,ns,16462408
size=128,kv map,10,,,90373362.0,ns,16637540
size=128,kv map,10,,,91317803.0,ns,16812672
size=128,kv map,10,,,92259376.0,ns,16987804
size=128,kv map,10,,,93338924.0,ns,17162936
size=128,kv map,10,,,93367576.0,ns,17338068
size=128,kv map,10,,,92868858.0,ns,17513200
