group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=32,hash map,15,,,951495.0,ns,168437
size=32,hash map,15,,,1928230.0,ns,336874
size=32,hash map,15,,,2863955.0,ns,505311
size=32,hash map,15,,,3817099.0,ns,673748
size=32,hash map,15,,,4757919.0,ns,842185
size=32,hash map,15,,,5754268.0,ns,1010622
size=32,hash map,15,,,6803554.0,ns,1179059
size=32,hash map,15,,,7680950.0,ns,1347496
size=32,hash map,15,,,8601109.0,ns,1515933
size=32,hash map,15,,,9517469.0,ns,1684370
size=32,hash map,15,,,10472269.0,ns,1852807
size=32,hash map,15,,,11429600.0,ns,2021244
size=32,hash map,15,,,12382466.0,ns,2189681
size=32,hash map,15,,,13330303.0,ns,2358118
size=32,hash map,15,,,14288913.0,ns,2526555
size=32,hash map,15,,,15256379.0,ns,2694992
size=32,hash map,15,,,16184778.0,ns,2863429
size=32,hash map,15,,,17133679.0,ns,3031866
size=32,hash map,15,,,18094652.0,ns,3200303
size=32,hash map,15,,,19055857.0,ns,3368740
size=32,hash map,15,,,20011396.0,ns,3537177
size=32,hash map,15,,,20614979.0,ns,3705614
size=32,hash map,15,,,21424760.0,ns,3874051
size=32,hash map,15,,,22231482.0,ns,4042488
size=32,hash map,15,,,23204031.0,ns,4210925
size=32,hash map,15,,,24189474.0,ns,4379362
size=32,hash map,15,,,25059716.0,ns,4547799
size=32,hash map,15,,,25860067.0,ns,4716236
size=32,hash map,15,,,26810182.0,ns,4884673
size=32,hash map,15,,,27794672.0,ns,5053110
size=32,hash map,15,,,29682810.0,ns,5221547
size=32,hash map,15,,,30568621.0,ns,5389984
size=32,hash map,15,,,31299109.0,ns,5558421
size=32,hash map,15,,,32419701.0,ns,5726858
size=32,hash map,15,,,33354282.0,ns,5895295
size=32,hash map,15,,,34295233.0,ns,6063732
size=32,hash map,15,,,35253533.0,ns,6232169
size=32,hash map,15,,,35974921.0,ns,6400606
size=32,hash map,15,,,36313569.0,ns,6569043
size=32,hash map,15,,,36812776.0,ns,6737480
size=32,hash map,15,,,37976373.0,ns,6905917
size=32,hash map,15,,,38910490.0,ns,7074354
size=32,hash map,15,,,39901369.0,ns,7242791
size=32,hash map,15,,,40816869.0,ns,7411228
size=32,hash map,15,,,41565595.0,ns,7579665
size=32,hash map,15,,,42483026.0,ns,7748102
size=32,hash map,15,,,42616117.0,ns,7916539
size=32,hash map,15,,,43679844.0,ns,8084976
size=32,hash map,15,,,44289796.0,ns,8253413
size=32,hash map,15,,,45216968.0,ns,8421850
size=32,hash map,15,,,45963049.0,ns,8590287
size=32,hash map,15,,,46858875.0,ns,8758724
size=32,hash map,15,,,47643302.0,ns,8927161
size=32,hash map,15,,,48937393.0,ns,9095598
size=32,hash map,15,,,50274580.0,ns,9264035
size=32,hash map,15,,,50696191.0,ns,9432472
size=32,hash map,15,,,51921475.0,ns,9600909
size=32,hash map,15,,,52954415.0,ns,9769346
size=32,hash map,15,,,54888149.0,ns,9937783
size=32,hash map,15,,,55751192.0,ns,10106220
size=32,hash map,15,,,55790478.0,ns,10274657
size=32,hash map,15,,,56155575.0,ns,10443094
size=32,hash map,15,,,57175771.0,ns,10611531
size=32,hash map,15,,,57944852.0,ns,10779968
size=32,hash map,15,,,58863123.0,ns,10948405
size=32,hash map,15,,,59891229.0,ns,11116842
size=32,hash map,15,,,60971217.0,ns,11285279
size=32,hash map,15,,,61617563.0,ns,11453716
size=32,hash map,15,,,62468706.0,ns,11622153
size=32,hash map,15,,,63082679.0,ns,11790590
size=32,hash map,15,,,64244274.0,ns,11959027
size=32,hash map,15,,,65065579.0,ns,12127464
size=32,hash map,15,,,66484059.0,ns,12295901
size=32,hash map,15,,,67291238.0,ns,12464338
size=32,hash map,15,,,68016127.0,ns,12632775
size=32,hash map,15,,,68556267.0,ns,12801212
size=32,hash map,15,,,69854687.0,ns,12969649
size=32,hash map,15,,,70453335.0,ns,13138086
size=32,hash map,15,,,71354460.0,ns,13306523
size=32,hash map,15,,,72652545.0,ns,13474960
size=32,hash map,15,,,73647802.0,ns,13643397
size=32,hash map,15,,,74659593.0,ns,13811834
size=32,hash map,15,,,75014987.0,ns,13980271
size=32,hash map,15,,,76024780.0,ns,14148708
size=32,hash map,15,,,76960766.0,ns,14317145
size=32,hash map,15,,,78213370.0,ns,14485582
size=32,hash map,15,,,78743412.0,ns,14654019
size=32,hash map,15,,,79845765.0,ns,14822456
size=32,hash map,15,,,80274385.0,ns,14990893
size=32,hash map,15,,,81158385.0,ns,15159330
size=32,hash map,15,,,82039661.0,ns,15327767
size=32,hash map,15,,,83063301.0,ns,15496204
size=32,hash map,15,,,83831889.0,ns,15664641
size=32,hash map,15,,,84656861.0,ns,15833078
size=32,hash map,15,,,86178911.0,ns,16001515
size=32,hash map,15,,,86775700.0,ns,16169952
size=32,hash map,15,,,87482645.0,ns,16338389
size=32,hash map,15,,,88558935.0,ns,16506826
size=32,hash map,15,,,89561997.0,ns,16675263
size=32,hash map,15,,,90589888.0,ns,16843700
