group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=32,hash map,30,,,945769.0,ns,173579
size=32,hash map,30,,,1892062.0,ns,347158
size=32,hash map,30,,,2836610.0,ns,520737
size=32,hash map,30,,,3846683.0,ns,694316
size=32,hash map,30,,,4971142.0,ns,867895
size=32,hash map,30,,,5780660.0,ns,1041474
size=32,hash map,30,,,6674543.0,ns,1215053
size=32,hash map,30,,,7656546.0,ns,1388632
size=32,hash map,30,,,8507180.0,ns,1562211
size=32,hash map,30,,,9468408.0,ns,1735790
size=32,hash map,30,,,10406928.0,ns,1909369
size=32,hash map,30,,,11397862.0,ns,2082948
size=32,hash map,30,,,12307631.0,ns,2256527
size=32,hash map,30,,,13031488.0,ns,2430106
size=32,hash map,30,,,14183081.0,ns,2603685
size=32,hash map,30,,,15137700.0,ns,2777264
size=32,hash map,30,,,16083057.0,ns,2950843
size=32,hash map,30,,,17180915.0,ns,3124422
size=32,hash map,30,,,17978478.0,ns,3298001
size=32,hash map,30,,,18951853.0,ns,3471580
size=32,hash map,30,,,19827502.0,ns,3645159
size=32,hash map,30,,,20580232.0,ns,3818738
size=32,hash map,30,,,21827203.0,ns,3992317
size=32,hash map,30,,,22688865.0,ns,4165896
size=32,hash map,30,,,23654592.0,ns,4339475
size=32,hash map,30,,,25024818.0,ns,4513054
size=32,hash map,30,,,25864320.0,ns,4686633
size=32,hash map,30,,,26578676.0,ns,4860212
size=32,hash map,30,,,27554901.0,ns,5033791
size=32,hash map,30,,,28525610.0,ns,5207370
size=32,hash map,30,,,29463409.0,ns,5380949
size=32,hash map,30,,,30416331.0,ns,5554528
size=32,hash map,30,,,31345428.0,ns,5728107
size=32,hash map,30,,,32292309.0,ns,5901686
size=32,hash map,30,,,33296040.0,ns,6075265
size=32,hash map,30,,,34204538.0,ns,6248844
size=32,hash map,30,,,35375547.0,ns,6422423
size=32,hash map,30,,,35948730.0,ns,6596002
size=32,hash map,30,,,36904835.0,ns,6769581
size=32,hash map,30,,,37975524.0,ns,6943160
size=32,hash map,30,,,38881251.0,ns,7116739
size=32,hash map,30,,,42263328.0,ns,7290318
size=32,hash map,30,,,40761119.0,ns,7463897
size=32,hash map,30,,,41640413.0,ns,7637476
size=32,hash map,30,,,42559484.0,ns,7811055
size=32,hash map,30,,,43517925.0,ns,7984634
size=32,hash map,30,,,44462436.0,ns,8158213
size=32,hash map,30,,,45409821.0,ns,8331792
size=32,hash map,30,,,46456681.0,ns,8505371
size=32,hash map,30,,,47276612.0,ns,8678950
size=32,hash map,30,,,48234461.0,ns,8852529
size=32,hash map,30,,,49180326.0,ns,9026108
size=32,hash map,30,,,50460072.0,ns,9199687
size=32,hash map,30,,,51405825.0,ns,9373266
size=32,hash map,30,,,52263426.0,ns,9546845
size=32,hash map,30,,,53212999.0,ns,9720424
size=32,hash map,30,,,54143368.0,ns,9894003
size=32,hash map,30,,,55087550.0,ns,10067582
size=32,hash map,30,,,57204170.0,ns,10241161
size=32,hash map,30,,,56783210.0,ns,10414740
size=32,hash map,30,,,57972039.0,ns,10588319
size=32,hash map,30,,,58918820.0,ns,10761898
size=32,hash map,30,,,59995465.0,ns,10935477
size=32,hash map,30,,,60646309.0,ns,11109056
size=32,hash map,30,,,61837604.0,ns,11282635
size=32,hash map,30,,,62703702.0,ns,11456214
size=32,hash map,30,,,63782970.0,ns,11629793
size=32,hash map,30,,,64396258.0,ns,11803372
size=32,hash map,30,,,65554793.0,ns,11976951
size=32,hash map,30,,,66524416.0,ns,12150530
size=32,hash map,30,,,67534829.0,ns,12324109
size=32,hash map,30,,,68502936.0,ns,12497688
size=32,hash map,30,,,69154916.0,ns,12671267
size=32,hash map,30,,,70422535.0,ns,12844846
size=32,hash map,30,,,71247447.0,ns,13018425
size=32,hash map,30,,,72070717.0,ns,13192004
size=32,hash map,30,,,73284288.0,ns,13365583
size=32,hash map,30,,,74311793.0,ns,13539162
size=32,hash map,30,,,75047231.0,ns,13712741
size=32,hash map,30,,,75653112.0,ns,13886320
size=32,hash map,30,,,76578249.0,ns,14059899
size=32,hash map,30,,,77630421.0,ns,14233478
size=32,hash map,30,,,78547053.0,ns,14407057
size=32,hash map,30,,,79690784.0,ns,14580636
size=32,hash map,30,,,80464917.0,ns,14754215
size=32,hash map,30,,,81465197.0,ns,14927794
size=32,hash map,30,,,82330517.0,ns,15101373
size=32,hash map,30,,,83223297.0,ns,15274952
size=32,hash map,30,,,83126074.0,ns,15448531
size=32,hash map,30,,,84298073.0,ns,15622110
size=32,hash map,30,,,84640406.0,ns,15795689
size=32,hash map,30,,,85860725.0,ns,15969268
size=32,hash map,30,,,86801631.0,ns,16142847
size=32,hash map,30,,,89439836.0,ns,16316426
size=32,hash map,30,,,89460570.0,ns,16490005
size=32,hash map,30,,,90151363.0,ns,16663584
size=32,hash map,30,,,90940749.0,ns,16837163
size=32,hash map,30,,,91735224.0,ns,17010742
size=32,hash map,30,,,92749155.0,ns,17184321
size=32,hash map,30,,,93349009.0,ns,17357900
