group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,btree map,10,,,1008179.0,ns,91166
size=64,btree map,10,,,1937665.0,ns,182332
size=64,btree map,10,,,3118579.0,ns,273498
size=64,btree map,10,,,3875447.0,ns,364664
size=64,btree map,10,,,4857609.0,ns,455830
size=64,btree map,10,,,6002956.0,ns,546996
size=64,btree map,10,,,7038785.0,ns,638162
size=64,btree map,10,,,7965779.0,ns,729328
size=64,btree map,10,,,8745041.0,ns,820494
size=64,btree map,10,,,9719244.0,ns,911660
size=64,btree map,10,,,10676760.0,ns,1002826
size=64,btree map,10,,,11647105.0,ns,1093992
size=64,btree map,10,,,12615809.0,ns,1185158
size=64,btree map,10,,,13603445.0,ns,1276324
size=64,btree map,10,,,14617311.0,ns,1367490
size=64,btree map,10,,,15516678.0,ns,1458656
size=64,btree map,10,,,16514795.0,ns,1549822
size=64,btree map,10,,,17481056.0,ns,1640988
size=64,btree map,10,,,18422996.0,ns,1732154
size=64,btree map,10,,,19405887.0,ns,1823320
size=64,btree map,10,,,20373685.0,ns,1914486
size=64,btree map,10,,,21347624.0,ns,2005652
size=64,btree map,10,,,22315735.0,ns,2096818
size=64,btree map,10,,,23323272.0,ns,2187984
size=64,btree map,10,,,24269042.0,ns,2279150
size=64,btree map,10,,,25233311.0,ns,2370316
size=64,btree map,10,,,26241370.0,ns,2461482
size=64,btree map,10,,,27163282.0,ns,2552648
size=64,btree map,10,,,28153361.0,ns,2643814
size=64,btree map,10,,,29122606.0,ns,2734980
size=64,btree map,10,,,30092912.0,ns,2826146
size=64,btree map,10,,,31030569.0,ns,2917312
size=64,btree map,10,,,32068024.0,ns,3008478
size=64,btree map,10,,,32990337.0,ns,3099644
size=64,btree map,10,,,33953635.0,ns,3190810
size=64,btree map,10,,,34921208.0,ns,3281976
size=64,btree map,10,,,35900426.0,ns,3373142
size=64,btree map,10,,,36889719.0,ns,3464308
size=64,btree map,10,,,37844603.0,ns,3555474
size=64,btree map,10,,,38859772.0,ns,3646640
size=64,btree map,10,,,39805291.0,ns,3737806
size=64,btree map,10,,,40788347.0,ns,3828972
size=64,btree map,10,,,41725168.0,ns,3920138
size=64,btree map,10,,,42692471.0,ns,4011304
size=64,btree map,10,,,43656306.0,ns,4102470
size=64,btree map,10,,,44618195.0,ns,4193636
size=64,btree map,10,,,45607242.0,ns,4284802
size=64,btree map,10,,,46630165.0,ns,4375968
size=64,btree map,10,,,48261520.0,ns,4467134
size=64,btree map,10,,,48533119.0,ns,4558300
size=64,btree map,10,,,49498750.0,ns,4649466
size=64,btree map,10,,,50462703.0,ns,4740632
size=64,btree map,10,,,51459001.0,ns,4831798
size=64,btree map,10,,,52400666.0,ns,4922964
size=64,btree map,10,,,53348031.0,ns,5014130
size=64,btree map,10,,,54322110.0,ns,5105296
size=64,btree map,10,,,54826392.0,ns,5196462
size=64,btree map,10,,,54751678.0,ns,5287628
size=64,btree map,10,,,55954245.0,ns,5378794
size=64,btree map,10,,,56857934.0,ns,5469960
size=64,btree map,10,,,58529668.0,ns,5561126
size=64,btree map,10,,,60236577.0,ns,5652292
size=64,btree map,10,,,61115974.0,ns,5743458
size=64,btree map,10,,,62125034.0,ns,5834624
size=64,btree map,10,,,63068593.0,ns,5925790
size=64,btree map,10,,,63772519.0,ns,6016956
size=64,btree map,10,,,63719350.0,ns,6108122
size=64,btree map,10,,,65967471.0,ns,6199288
size=64,btree map,10,,,66988562.0,ns,6290454
size=64,btree map,10,,,68305948.0,ns,6381620
size=64,btree map,10,,,68874816.0,ns,6472786
size=64,btree map,10,,,69862936.0,ns,6563952
size=64,btree map,10,,,70585786.0,ns,6655118
size=64,btree map,10,,,70149277.0,ns,6746284
size=64,btree map,10,,,71150659.0,ns,6837450
size=64,btree map,10,,,72128638.0,ns,6928616
size=64,btree map,10,,,74245898.0,ns,7019782
size=64,btree map,10,,,75706113.0,ns,7110948
size=64,btree map,10,,,76685569.0,ns,7202114
size=64,btree map,10,,,77793543.0,ns,7293280
size=64,btree map,10,,,78569609.0,ns,7384446
size=64,btree map,10,,,79557397.0,ns,7475612
size=64,btree map,10,,,80627060.0,ns,7566778
size=64,btree map,10,,,81303418.0,ns,7657944
size=64,btree map,10,,,80424871.0,ns,7749110
size=64,btree map,10,,,81197043.0,ns,7840276
size=64,btree map,10,,,83064064.0,ns,7931442
size=64,btree map,10,,,85436782.0,ns,8022608
size=64,btree map,10,,,86449558.0,ns,8113774
size=64,btree map,10,,,87333818.0,ns,8204940
size=64,btree map,10,,,86703387.0,ns,8296106
size=64,btree map,10,,,87263923.0,ns,8387272
size=64,btree map,10,,,89814823.0,ns,8478438
size=64,btree map,10,,,91251790.0,ns,8569604
size=64,btree map,10,,,92197820.0,ns,8660770
size=64,btree map,10,,,93049186.0,ns,8751936
size=64,btree map,10,,,94018987.0,ns,8843102
size=64,btree map,10,,,94999823.0,ns,8934268
size=64,btree map,10,,,94755520.0,ns,9025434
size=64,btree map,10,,,95348747.0,ns,9116600
