group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,binary map,1,,,853577.0,ns,283691
size=8,binary map,1,,,1745674.0,ns,567382
size=8,binary map,1,,,2560874.0,ns,851073
size=8,binary map,1,,,3470274.0,ns,1134764
size=8,binary map,1,,,4318822.0,ns,1418455
size=8,binary map,1,,,5114869.0,ns,1702146
size=8,binary map,1,,,5991075.0,ns,1985837
size=8,binary map,1,,,6796159.0,ns,2269528
size=8,binary map,1,,,7626729.0,ns,2553219
size=8,binary map,1,,,8457017.0,ns,2836910
size=8,binary map,1,,,9359699.0,ns,3120601
size=8,binary map,1,,,10194376.0,ns,3404292
size=8,binary map,1,,,11038696.0,ns,3687983
size=8,binary map,1,,,11883767.0,ns,3971674
size=8,binary map,1,,,12783150.0,ns,4255365
size=8,binary map,1,,,13578050.0,ns,4539056
size=8,binary map,1,,,14419623.0,ns,4822747
size=8,binary map,1,,,15314043.0,ns,5106438
size=8,binary map,1,,,16385551.0,ns,5390129
size=8,binary map,1,,,16915510.0,ns,5673820
size=8,binary map,1,,,17755949.0,ns,5957511
size=8,binary map,1,,,18608530.0,ns,6241202
size=8,binary map,1,,,19504865.0,ns,6524893
size=8,binary map,1,,,20721629.0,ns,6808584
size=8,binary map,1,,,21260382.0,ns,7092275
size=8,binary map,1,,,22082851.0,ns,7375966
size=8,binary map,1,,,22924476.0,ns,7659657
size=8,binary map,1,,,23772140.0,ns,7943348
size=8,binary map,1,,,24630337.0,ns,8227039
size=8,binary map,1,,,25554142.0,ns,8510730
size=8,binary map,1,,,26348635.0,ns,8794421
size=8,binary map,1,,,27185837.0,ns,9078112
size=8,binary map,1,,,28068161.0,ns,9361803
size=8,binary map,1,,,28877514.0,ns,9645494
size=8,binary map,1,,,29733046.0,ns,9929185
size=8,binary map,1,,,31224760.0,ns,10212876
size=8,binary map,1,,,31607360.0,ns,10496567
size=8,binary map,1,,,32271189.0,ns,10780258
size=8,binary map,1,,,33308144.0,ns,11063949
size=8,binary map,1,,,34058105.0,ns,11347640
size=8,binary map,1,,,34721037.0,ns,11631331
size=8,binary map,1,,,36001280.0,ns,11915022
size=8,binary map,1,,,36358392.0,ns,12198713
size=8,binary map,1,,,37273109.0,ns,12482404
size=8,binary map,1,,,38071006.0,ns,12766095
size=8,binary map,1,,,39043282.0,ns,13049786
size=8,binary map,1,,,40033068.0,ns,13333477
size=8,binary map,1,,,40828377.0,ns,13617168
size=8,binary map,1,,,41696972.0,ns,13900859
size=8,binary map,1,,,42494298.0,ns,14184550
size=8,binary map,1,,,43298325.0,ns,14468241
size=8,binary map,1,,,44201560.0,ns,14751932
size=8,binary map,1,,,45273039.0,ns,15035623
size=8,binary map,1,,,46607213.0,ns,15319314
size=8,binary map,1,,,46722669.0,ns,15603005
size=8,binary map,1,,,47601714.0,ns,15886696
size=8,binary map,1,,,48437661.0,ns,16170387
size=8,binary map,1,,,49328375.0,ns,16454078
size=8,binary map,1,,,50333763.0,ns,16737769
size=8,binary map,1,,,50992013.0,ns,17021460
size=8,binary map,1,,,51815199.0,ns,17305151
size=8,binary map,1,,,52741300.0,ns,17588842
size=8,binary map,1,,,53507005.0,ns,17872533
size=8,binary map,1,,,55123585.0,ns,18156224
size=8,binary map,1,,,55357402.0,ns,18439915
size=8,binary map,1,,,56448863.0,ns,18723606
size=8,binary map,1,,,56959077.0,ns,19007297
size=8,binary map,1,,,57760918.0,ns,19290988
size=8,binary map,1,,,58761388.0,ns,19574679
size=8,binary map,1,,,59538732.0,ns,19858370
size=8,binary map,1,,,60366241.0,ns,20142061
size=8,binary map,1,,,60952601.0,ns,20425752
size=8,binary map,1,,,62442886.0,ns,20709443
size=8,binary map,1,,,62918709.0,ns,20993134
size=8,binary map,1,,,65511650.0,ns,21276825
size=8,binary map,1,,,64634197.0,ns,21560516
size=8,binary map,1,,,65574806.0,ns,21844207
size=8,binary map,1,,,66283677.0,ns,22127898
size=8,binary map,1,,,67095400.0,ns,22411589
size=8,binary map,1,,,68340846.0,ns,22695280
size=8,binary map,1,,,68793753.0,ns,22978971
size=8,binary map,1,,,69694254.0,ns,23262662
size=8,binary map,1,,,70513195.0,ns,23546353
size=8,binary map,1,,,71215812.0,ns,23830044
size=8,binary map,1,,,71969235.0,ns,24113735
size=8,binary map,1,,,73155060.0,ns,24397426
size=8,binary map,1,,,74424294.0,ns,24681117
size=8,binary map,1,,,74439356.0,ns,24964808
size=8,binary map,1,,,75487293.0,ns,25248499
size=8,binary map,1,,,76485987.0,ns,25532190
size=8,binary map,1,,,77363599.0,ns,25815881
size=8,binary map,1,,,78109619.0,ns,26099572
size=8,binary map,1,,,79072435.0,ns,26383263
size=8,binary map,1,,,79661410.0,ns,26666954
size=8,binary map,1,,,80586179.0,ns,26950645
size=8,binary map,1,,,81564473.0,ns,27234336
size=8,binary map,1,,,82439916.0,ns,27518027
size=8,binary map,1,,,83019963.0,ns,27801718
size=8,binary map,1,,,84126306.0,ns,28085409
size=8,binary map,1,,,85097456.0,ns,28369100
