group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,btree map,5,,,947898.0,ns,109809
size=8,btree map,5,,,1895822.0,ns,219618
size=8,btree map,5,,,2844607.0,ns,329427
size=8,btree map,5,,,3799295.0,ns,439236
size=8,btree map,5,,,4764820.0,ns,549045
size=8,btree map,5,,,5725375.0,ns,658854
size=8,btree map,5,,,6974925.0,ns,768663
size=8,btree map,5,,,7833966.0,ns,878472
size=8,btree map,5,,,8824438.0,ns,988281
size=8,btree map,5,,,9765514.0,ns,1098090
size=8,btree map,5,,,10751235.0,ns,1207899
size=8,btree map,5,,,11707999.0,ns,1317708
size=8,btree map,5,,,12686140.0,ns,1427517
size=8,btree map,5,,,13696510.0,ns,1537326
size=8,btree map,5,,,14645167.0,ns,1647135
size=8,btree map,5,,,15625545.0,ns,1756944
size=8,btree map,5,,,16604334.0,ns,1866753
size=8,btree map,5,,,17575187.0,ns,1976562
size=8,btree map,5,,,18568701.0,ns,2086371
size=8,btree map,5,,,19536562.0,ns,2196180
size=8,btree map,5,,,20508691.0,ns,2305989
size=8,btree map,5,,,21479718.0,ns,2415798
size=8,btree map,5,,,22489103.0,ns,2525607
size=8,btree map,5,,,23470489.0,ns,2635416
size=8,btree map,5,,,24363057.0,ns,2745225
size=8,btree map,5,,,24720882.0,ns,2855034
size=8,btree map,5,,,25664259.0,ns,2964843
size=8,btree map,5,,,26614489.0,ns,3074652
size=8,btree map,5,,,27574418.0,ns,3184461
size=8,btree map,5,,,28510643.0,ns,3294270
size=8,btree map,5,,,29474124.0,ns,3404079
size=8,btree map,5,,,30395311.0,ns,3513888
size=8,btree map,5,,,31441342.0,ns,3623697
size=8,btree map,5,,,33214371.0,ns,3733506
size=8,btree map,5,,,34169050.0,ns,3843315
size=8,btree map,5,,,35179101.0,ns,3953124
size=8,btree map,5,,,36141018.0,ns,4062933
size=8,btree map,5,,,37097161.0,ns,4172742
size=8,btree map,5,,,38108924.0,ns,4282551
size=8,btree map,5,,,39081489.0,ns,4392360
size=8,btree map,5,,,39057517.0,ns,4502169
size=8,btree map,5,,,39873761.0,ns,4611978
size=8,btree map,5,,,41049965.0,ns,4721787
size=8,btree map,5,,,43071880.0,ns,4831596
size=8,btree map,5,,,44050850.0,ns,4941405
size=8,btree map,5,,,44958426.0,ns,5051214
size=8,btree map,5,,,45894773.0,ns,5161023
size=8,btree map,5,,,46961072.0,ns,5270832
size=8,btree map,5,,,47937276.0,ns,5380641
size=8,btree map,5,,,48312579.0,ns,5490450
size=8,btree map,5,,,48680119.0,ns,5600259
size=8,btree map,5,,,50862223.0,ns,5710068
size=8,btree map,5,,,51836592.0,ns,5819877
size=8,btree map,5,,,52817134.0,ns,5929686
size=8,btree map,5,,,53775833.0,ns,6039495
size=8,btree map,5,,,54776840.0,ns,6149304
size=8,btree map,5,,,55754231.0,ns,6259113
size=8,btree map,5,,,56721695.0,ns,6368922
size=8,btree map,5,,,57646573.0,ns,6478731
size=8,btree map,5,,,58611109.0,ns,6588540
size=8,btree map,5,,,59588007.0,ns,6698349
size=8,btree map,5,,,60608370.0,ns,6808158
size=8,btree map,5,,,61591670.0,ns,6917967
size=8,btree map,5,,,62579506.0,ns,7027776
size=8,btree map,5,,,62755780.0,ns,7137585
size=8,btree map,5,,,62803112.0,ns,7247394
size=8,btree map,5,,,63829742.0,ns,7357203
size=8,btree map,5,,,65170384.0,ns,7467012
size=8,btree map,5,,,67469215.0,ns,7576821
size=8,btree map,5,,,68471022.0,ns,7686630
size=8,btree map,5,,,69454219.0,ns,7796439
size=8,btree map,5,,,70393428.0,ns,7906248
size=8,btree map,5,,,71376865.0,ns,8016057
size=8,btree map,5,,,72355910.0,ns,8125866
size=8,btree map,5,,,72925365.0,ns,8235675
size=8,btree map,5,,,72317202.0,ns,8345484
size=8,btree map,5,,,73633177.0,ns,8455293
size=8,btree map,5,,,76291944.0,ns,8565102
size=8,btree map,5,,,77204270.0,ns,8674911
size=8,btree map,5,,,78242273.0,ns,8784720
size=8,btree map,5,,,79161716.0,ns,8894529
size=8,btree map,5,,,78612688.0,ns,9004338
size=8,btree map,5,,,78857428.0,ns,9114147
size=8,btree map,5,,,79965700.0,ns,9223956
size=8,btree map,5,,,80798394.0,ns,9333765
size=8,btree map,5,,,83984295.0,ns,9443574
size=8,btree map,5,,,85006310.0,ns,9553383
size=8,btree map,5,,,84506756.0,ns,9663192
size=8,btree map,5,,,84549179.0,ns,9773001
size=8,btree map,5,,,87460846.0,ns,9882810
size=8,btree map,5,,,88829476.0,ns,9992619
size=8,btree map,5,,,89803218.0,ns,10102428
size=8,btree map,5,,,88297977.0,ns,10212237
size=8,btree map,5,,,90839733.0,ns,10322046
size=8,btree map,5,,,92844278.0,ns,10431855
size=8,btree map,5,,,93800648.0,ns,10541664
size=8,btree map,5,,,94738547.0,ns,10651473
size=8,btree map,5,,,93114998.0,ns,10761282
size=8,btree map,5,,,94050966.0,ns,10871091
size=8,btree map,5,,,95593794.0,ns,10980900
