group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,kv map,1,,,980390.0,ns,277516
size=8,kv map,1,,,2024593.0,ns,555032
size=8,kv map,1,,,2945616.0,ns,832548
size=8,kv map,1,,,4186720.0,ns,1110064
size=8,kv map,1,,,5155019.0,ns,1387580
size=8,kv map,1,,,5907318.0,ns,1665096
size=8,kv map,1,,,6998815.0,ns,1942612
size=8,kv map,1,,,7851438.0,ns,2220128
size=8,kv map,1,,,8824950.0,ns,2497644
size=8,kv map,1,,,9814483.0,ns,2775160
size=8,kv map,1,,,10792243.0,ns,3052676
size=8,kv map,1,,,11773415.0,ns,3330192
size=8,kv map,1,,,12754325.0,ns,3607708
size=8,kv map,1,,,13741530.0,ns,3885224
size=8,kv map,1,,,14706597.0,ns,4162740
size=8,kv map,1,,,15701907.0,ns,4440256
size=8,kv map,1,,,16689237.0,ns,4717772
size=8,kv map,1,,,17648648.0,ns,4995288
size=8,kv map,1,,,18639820.0,ns,5272804
size=8,kv map,1,,,19820061.0,ns,5550320
size=8,kv map,1,,,20861078.0,ns,5827836
size=8,kv map,1,,,22098236.0,ns,6105352
size=8,kv map,1,,,22656124.0,ns,6382868
size=8,kv map,1,,,23773148.0,ns,6660384
size=8,kv map,1,,,24710031.0,ns,6937900
size=8,kv map,1,,,25704671.0,ns,7215416
size=8,kv map,1,,,26528726.0,ns,7492932
size=8,kv map,1,,,27544412.0,ns,7770448
size=8,kv map,1,,,28781295.0,ns,8047964
size=8,kv map,1,,,29599382.0,ns,8325480
size=8,kv map,1,,,30559061.0,ns,8602996
size=8,kv map,1,,,31536049.0,ns,8880512
size=8,kv map,1,,,32587754.0,ns,9158028
size=8,kv map,1,,,33481255.0,ns,9435544
size=8,kv map,1,,,34472514.0,ns,9713060
size=8,kv map,1,,,35548455.0,ns,9990576
size=8,kv map,1,,,36663408.0,ns,10268092
size=8,kv map,1,,,37322695.0,ns,10545608
size=8,kv map,1,,,38485650.0,ns,10823124
size=8,kv map,1,,,39438456.0,ns,11100640
size=8,kv map,1,,,40395579.0,ns,11378156
size=8,kv map,1,,,41444180.0,ns,11655672
size=8,kv map,1,,,42412353.0,ns,11933188
size=8,kv map,1,,,43337526.0,ns,12210704
size=8,kv map,1,,,44410779.0,ns,12488220
size=8,kv map,1,,,45165060.0,ns,12765736
size=8,kv map,1,,,46087425.0,ns,13043252
size=8,kv map,1,,,47084758.0,ns,13320768
size=8,kv map,1,,,48284402.0,ns,13598284
size=8,kv map,1,,,49461960.0,ns,13875800
size=8,kv map,1,,,50340148.0,ns,14153316
size=8,kv map,1,,,51270275.0,ns,14430832
size=8,kv map,1,,,52404309.0,ns,14708348
size=8,kv map,1,,,53361397.0,ns,14985864
size=8,kv map,1,,,54206428.0,ns,15263380
size=8,kv map,1,,,55288122.0,ns,15540896
size=8,kv map,1,,,56189385.0,ns,15818412
size=8,kv map,1,,,57032832.0,ns,16095928
size=8,kv map,1,,,58193340.0,ns,16373444
size=8,kv map,1,,,58869047.0,ns,16650960
size=8,kv map,1,,,59950280.0,ns,16928476
size=8,kv map,1,,,61339632.0,ns,17205992
size=8,kv map,1,,,62458417.0,ns,17483508
size=8,kv map,1,,,63440083.0,ns,17761024
size=8,kv map,1,,,64439163.0,ns,18038540
size=8,kv map,1,,,65339059.0,ns,18316056
size=8,kv map,1,,,67269317.0,ns,18593572
size=8,kv map,1,,,67197994.0,ns,18871088
size=8,kv map,1,,,68001073.0,ns,19148604
size=8,kv map,1,,,69338385.0,ns,19426120
size=8,kv map,1,,,70086590.0,ns,19703636
size=8,kv map,1,,,71057959.0,ns,19981152
size=8,kv map,1,,,72176079.0,ns,20258668
size=8,kv map,1,,,73006780.0,ns,20536184
size=8,kv map,1,,,73637086.0,ns,20813700
size=8,kv map,1,,,74905259.0,ns,21091216
size=8,kv map,1,,,76051919.0,ns,21368732
size=8,kv map,1,,,76964056.0,ns,21646248
size=8,kv map,1,,,78230381.0,ns,21923764
size=8,kv map,1,,,79032081.0,ns,22201280
size=8,kv map,1,,,79546936.0,ns,22478796
size=8,kv map,1,,,80563040.0,ns,22756312
size=8,kv map,1,,,81467882.0,ns,23033828
size=8,kv map,1,,,82895646.0,ns,23311344
size=8,kv map,1,,,83938635.0,ns,23588860
size=8,kv map,1,,,84450902.0,ns,23866376
size=8,kv map,1,,,85447577.0,ns,24143892
size=8,kv map,1,,,86352913.0,ns,24421408
size=8,kv map,1,,,87699614.0,ns,24698924
size=8,kv map,1,,,88786617.0,ns,24976440
size=8,kv map,1,,,89774364.0,ns,25253956
size=8,kv map,1,,,90828458.0,ns,25531472
size=8,kv map,1,,,92037270.0,ns,25808988
size=8,kv map,1,,,92960940.0,ns,26086504
size=8,kv map,1,,,93802362.0,ns,26364020
size=8,kv map,1,,,94835523.0,ns,26641536
size=8,kv map,1,,,95692515.0,ns,26919052
size=8,kv map,1,,,96383767.0,ns,27196568
size=8,kv map,1,,,97174165.0,ns,27474084
size=8,kv map,1,,,98442083.0,ns,27751600
