group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,linear map,1,,,1232769.0,ns,307485
size=8,linear map,1,,,2496119.0,ns,614970
size=8,linear map,1,,,3864811.0,ns,922455
size=8,linear map,1,,,5098455.0,ns,1229940
size=8,linear map,1,,,6362669.0,ns,1537425
size=8,linear map,1,,,7321740.0,ns,1844910
size=8,linear map,1,,,8402356.0,ns,2152395
size=8,linear map,1,,,9327164.0,ns,2459880
size=8,linear map,1,,,10826727.0,ns,2767365
size=8,linear map,1,,,11968646.0,ns,3074850
size=8,linear map,1,,,12656760.0,ns,3382335
size=8,linear map,1,,,13983449.0,ns,3689820
size=8,linear map,1,,,14053885.0,ns,3997305
size=8,linear map,1,,,13940877.0,ns,4304790
size=8,linear map,1,,,14175279.0,ns,4612275
size=8,linear map,1,,,14905728.0,ns,4919760
size=8,linear map,1,,,16037586.0,ns,5227245
size=8,linear map,1,,,16891257.0,ns,5534730
size=8,linear map,1,,,18122859.0,ns,5842215
size=8,linear map,1,,,18792332.0,ns,6149700
size=8,linear map,1,,,19553701.0,ns,6457185
size=8,linear map,1,,,20446381.0,ns,6764670
size=8,linear map,1,,,21379265.0,ns,7072155
size=8,linear map,1,,,22441103.0,ns,7379640
size=8,linear map,1,,,23471097.0,ns,7687125
size=8,linear map,1,,,24240711.0,ns,7994610
size=8,linear map,1,,,25249133.0,ns,8302095
size=8,linear map,1,,,26442505.0,ns,8609580
size=8,linear map,1,,,28028371.0,ns,8917065
size=8,linear map,1,,,27768717.0,ns,9224550
size=8,linear map,1,,,28722616.0,ns,9532035
size=8,linear map,1,,,29505247.0,ns,9839520
size=8,linear map,1,,,30405664.0,ns,10147005
size=8,linear map,1,,,31406077.0,ns,10454490
size=8,linear map,1,,,32242960.0,ns,10761975
size=8,linear map,1,,,33199618.0,ns,11069460
size=8,linear map,1,,,34116508.0,ns,11376945
size=8,linear map,1,,,35009235.0,ns,11684430
size=8,linear map,1,,,35862319.0,ns,11991915
size=8,linear map,1,,,36913002.0,ns,12299400
size=8,linear map,1,,,38161980.0,ns,12606885
size=8,linear map,1,,,38880221.0,ns,12914370
size=8,linear map,1,,,40132955.0,ns,13221855
size=8,linear map,1,,,41696592.0,ns,13529340
size=8,linear map,1,,,41596807.0,ns,13836825
size=8,linear map,1,,,42430050.0,ns,14144310
size=8,linear map,1,,,43333524.0,ns,14451795
size=8,linear map,1,,,44213815.0,ns,14759280
size=8,linear map,1,,,45144290.0,ns,15066765
size=8,linear map,1,,,46428113.0,ns,15374250
size=8,linear map,1,,,47698008.0,ns,15681735
size=8,linear map,1,,,47936440.0,ns,15989220
size=8,linear map,1,,,49149545.0,ns,16296705
size=8,linear map,1,,,49612952.0,ns,16604190
size=8,linear map,1,,,51373956.0,ns,16911675
size=8,linear map,1,,,51719148.0,ns,17219160
size=8,linear map,1,,,52493428.0,ns,17526645
size=8,linear map,1,,,53344336.0,ns,17834130
size=8,linear map,1,,,54350431.0,ns,18141615
size=8,linear map,1,,,55224699.0,ns,18449100
size=8,linear map,1,,,56207484.0,ns,18756585
size=8,linear map,1,,,57340853.0,ns,19064070
size=8,linear map,1,,,58038492.0,ns,19371555
size=8,linear map,1,,,59165044.0,ns,19679040
size=8,linear map,1,,,59984494.0,ns,19986525
size=8,linear map,1,,,60818520.0,ns,20294010
size=8,linear map,1,,,61754439.0,ns,20601495
size=8,linear map,1,,,62645817.0,ns,20908980
size=8,linear map,1,,,63932321.0,ns,21216465
size=8,linear map,1,,,64785773.0,ns,21523950
size=8,linear map,1,,,65304647.0,ns,21831435
size=8,linear map,1,,,66647494.0,ns,22138920
size=8,linear map,1,,,67335758.0,ns,22446405
size=8,linear map,1,,,68253854.0,ns,22753890
size=8,linear map,1,,,69294684.0,ns,23061375
size=8,linear map,1,,,70061443.0,ns,23368860
size=8,linear map,1,,,71067407.0,ns,23676345
size=8,linear map,1,,,445779443.0,ns,23983830
size=8,linear map,1,,,654243999.0,ns,24291315
size=8,linear map,1,,,124073534.0,ns,24598800
size=8,linear map,1,,,119597794.0,ns,24906285
size=8,linear map,1,,,121091046.0,ns,25213770
size=8,linear map,1,,,122638008.0,ns,25521255
size=8,linear map,1,,,127441737.0,ns,25828740
size=8,linear map,1,,,125536839.0,ns,26136225
size=8,linear map,1,,,126885057.0,ns,26443710
size=8,linear map,1,,,128715655.0,ns,26751195
size=8,linear map,1,,,131191422.0,ns,27058680
size=8,linear map,1,,,131344712.0,ns,27366165
size=8,linear map,1,,,132879856.0,ns,27673650
size=8,linear map,1,,,146144467.0,ns,27981135
size=8,linear map,1,,,140794183.0,ns,28288620
size=8,linear map,1,,,137356861.0,ns,28596105
size=8,linear map,1,,,138820970.0,ns,28903590
size=8,linear map,1,,,141101090.0,ns,29211075
size=8,linear map,1,,,141737368.0,ns,29518560
size=8,linear map,1,,,143157498.0,ns,29826045
size=8,linear map,1,,,145279049.0,ns,30133530
size=8,linear map,1,,,146300073.0,ns,30441015
size=8,linear map,1,,,147788692.0,ns,30748500
