group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,linear map,15,,,967595.0,ns,162105
size=8,linear map,15,,,1951883.0,ns,324210
size=8,linear map,15,,,2923070.0,ns,486315
size=8,linear map,15,,,3880353.0,ns,648420
size=8,linear map,15,,,5183109.0,ns,810525
size=8,linear map,15,,,5875653.0,ns,972630
size=8,linear map,15,,,6724707.0,ns,1134735
size=8,linear map,15,,,7827356.0,ns,1296840
size=8,linear map,15,,,8593051.0,ns,1458945
size=8,linear map,15,,,9688185.0,ns,1621050
size=8,linear map,15,,,10710829.0,ns,1783155
size=8,linear map,15,,,11568293.0,ns,1945260
size=8,linear map,15,,,12583344.0,ns,2107365
size=8,linear map,15,,,13516506.0,ns,2269470
size=8,linear map,15,,,14580092.0,ns,2431575
size=8,linear map,15,,,15497387.0,ns,2593680
size=8,linear map,15,,,16673159.0,ns,2755785
size=8,linear map,15,,,17340908.0,ns,2917890
size=8,linear map,15,,,18375843.0,ns,3079995
size=8,linear map,15,,,19356692.0,ns,3242100
size=8,linear map,15,,,20222856.0,ns,3404205
size=8,linear map,15,,,21057801.0,ns,3566310
size=8,linear map,15,,,21674661.0,ns,3728415
size=8,linear map,15,,,22451997.0,ns,3890520
size=8,linear map,15,,,23608943.0,ns,4052625
size=8,linear map,15,,,24601258.0,ns,4214730
size=8,linear map,15,,,25524087.0,ns,4376835
size=8,linear map,15,,,26366902.0,ns,4538940
size=8,linear map,15,,,27308099.0,ns,4701045
size=8,linear map,15,,,28213057.0,ns,4863150
size=8,linear map,15,,,29564307.0,ns,5025255
size=8,linear map,15,,,30312122.0,ns,5187360
size=8,linear map,15,,,31814750.0,ns,5349465
size=8,linear map,15,,,32910694.0,ns,5511570
size=8,linear map,15,,,33788429.0,ns,5673675
size=8,linear map,15,,,34861253.0,ns,5835780
size=8,linear map,15,,,35894627.0,ns,5997885
size=8,linear map,15,,,36063416.0,ns,6159990
size=8,linear map,15,,,36723618.0,ns,6322095
size=8,linear map,15,,,37700333.0,ns,6484200
size=8,linear map,15,,,38600869.0,ns,6646305
size=8,linear map,15,,,39924734.0,ns,6808410
size=8,linear map,15,,,40671919.0,ns,6970515
size=8,linear map,15,,,41921564.0,ns,7132620
size=8,linear map,15,,,43259154.0,ns,7294725
size=8,linear map,15,,,44449209.0,ns,7456830
size=8,linear map,15,,,45492218.0,ns,7618935
size=8,linear map,15,,,46578625.0,ns,7781040
size=8,linear map,15,,,47328442.0,ns,7943145
size=8,linear map,15,,,48323719.0,ns,8105250
size=8,linear map,15,,,49283606.0,ns,8267355
size=8,linear map,15,,,49282205.0,ns,8429460
size=8,linear map,15,,,49783618.0,ns,8591565
size=8,linear map,15,,,50849646.0,ns,8753670
size=8,linear map,15,,,51826561.0,ns,8915775
size=8,linear map,15,,,52938955.0,ns,9077880
size=8,linear map,15,,,53567585.0,ns,9239985
size=8,linear map,15,,,54725686.0,ns,9402090
size=8,linear map,15,,,55918968.0,ns,9564195
size=8,linear map,15,,,56586354.0,ns,9726300
size=8,linear map,15,,,57443991.0,ns,9888405
size=8,linear map,15,,,58718281.0,ns,10050510
size=8,linear map,15,,,60748568.0,ns,10212615
size=8,linear map,15,,,61915667.0,ns,10374720
size=8,linear map,15,,,62302546.0,ns,10536825
size=8,linear map,15,,,62883580.0,ns,10698930
size=8,linear map,15,,,63501381.0,ns,10861035
size=8,linear map,15,,,64237601.0,ns,11023140
size=8,linear map,15,,,65153926.0,ns,11185245
size=8,linear map,15,,,67690403.0,ns,11347350
size=8,linear map,15,,,68480851.0,ns,11509455
size=8,linear map,15,,,69726601.0,ns,11671560
size=8,linear map,15,,,70611870.0,ns,11833665
size=8,linear map,15,,,73486507.0,ns,11995770
size=8,linear map,15,,,72654849.0,ns,12157875
size=8,linear map,15,,,73249539.0,ns,12319980
size=8,linear map,15,,,74414942.0,ns,12482085
size=8,linear map,15,,,74415181.0,ns,12644190
size=8,linear map,15,,,74487157.0,ns,12806295
size=8,linear map,15,,,75712895.0,ns,12968400
size=8,linear map,15,,,76823032.0,ns,13130505
size=8,linear map,15,,,77508821.0,ns,13292610
size=8,linear map,15,,,78352818.0,ns,13454715
size=8,linear map,15,,,80748090.0,ns,13616820
size=8,linear map,15,,,82116088.0,ns,13778925
size=8,linear map,15,,,82858595.0,ns,13941030
size=8,linear map,15,,,82419414.0,ns,14103135
size=8,linear map,15,,,83260399.0,ns,14265240
size=8,linear map,15,,,84100108.0,ns,14427345
size=8,linear map,15,,,84675780.0,ns,14589450
size=8,linear map,15,,,87290152.0,ns,14751555
size=8,linear map,15,,,89008247.0,ns,14913660
size=8,linear map,15,,,87504770.0,ns,15075765
size=8,linear map,15,,,88141920.0,ns,15237870
size=8,linear map,15,,,89256590.0,ns,15399975
size=8,linear map,15,,,90227087.0,ns,15562080
size=8,linear map,15,,,90742731.0,ns,15724185
size=8,linear map,15,,,90425346.0,ns,15886290
size=8,linear map,15,,,91795080.0,ns,16048395
size=8,linear map,15,,,91614430.0,ns,16210500
