group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,simd16 map,1,,,956460.0,ns,172088
size=8,simd16 map,1,,,1919508.0,ns,344176
size=8,simd16 map,1,,,2877435.0,ns,516264
size=8,simd16 map,1,,,3774244.0,ns,688352
size=8,simd16 map,1,,,4821654.0,ns,860440
size=8,simd16 map,1,,,5822356.0,ns,1032528
size=8,simd16 map,1,,,6718184.0,ns,1204616
size=8,simd16 map,1,,,7690733.0,ns,1376704
size=8,simd16 map,1,,,8618001.0,ns,1548792
size=8,simd16 map,1,,,9579657.0,ns,1720880
size=8,simd16 map,1,,,10440226.0,ns,1892968
size=8,simd16 map,1,,,11508393.0,ns,2065056
size=8,simd16 map,1,,,12484518.0,ns,2237144
size=8,simd16 map,1,,,13415079.0,ns,2409232
size=8,simd16 map,1,,,14737100.0,ns,2581320
size=8,simd16 map,1,,,15327374.0,ns,2753408
size=8,simd16 map,1,,,16276455.0,ns,2925496
size=8,simd16 map,1,,,17240291.0,ns,3097584
size=8,simd16 map,1,,,18317264.0,ns,3269672
size=8,simd16 map,1,,,19167040.0,ns,3441760
size=8,simd16 map,1,,,20112920.0,ns,3613848
size=8,simd16 map,1,,,21068104.0,ns,3785936
size=8,simd16 map,1,,,22030953.0,ns,3958024
size=8,simd16 map,1,,,22985632.0,ns,4130112
size=8,simd16 map,1,,,23942429.0,ns,4302200
size=8,simd16 map,1,,,24898832.0,ns,4474288
size=8,simd16 map,1,,,25861808.0,ns,4646376
size=8,simd16 map,1,,,26823904.0,ns,4818464
size=8,simd16 map,1,,,27776415.0,ns,4990552
size=8,simd16 map,1,,,28727545.0,ns,5162640
size=8,simd16 map,1,,,29686505.0,ns,5334728
size=8,simd16 map,1,,,30510611.0,ns,5506816
size=8,simd16 map,1,,,31603926.0,ns,5678904
size=8,simd16 map,1,,,32570680.0,ns,5850992
size=8,simd16 map,1,,,33575690.0,ns,6023080
size=8,simd16 map,1,,,34493449.0,ns,6195168
size=8,simd16 map,1,,,35461800.0,ns,6367256
size=8,simd16 map,1,,,36403807.0,ns,6539344
size=8,simd16 map,1,,,37940410.0,ns,6711432
size=8,simd16 map,1,,,39435072.0,ns,6883520
size=8,simd16 map,1,,,40429988.0,ns,7055608
size=8,simd16 map,1,,,41026201.0,ns,7227696
size=8,simd16 map,1,,,41042386.0,ns,7399784
size=8,simd16 map,1,,,42077863.0,ns,7571872
size=8,simd16 map,1,,,43129981.0,ns,7743960
size=8,simd16 map,1,,,44062199.0,ns,7916048
size=8,simd16 map,1,,,45016688.0,ns,8088136
size=8,simd16 map,1,,,45994791.0,ns,8260224
size=8,simd16 map,1,,,46943963.0,ns,8432312
size=8,simd16 map,1,,,47997132.0,ns,8604400
size=8,simd16 map,1,,,48866744.0,ns,8776488
size=8,simd16 map,1,,,49799992.0,ns,8948576
size=8,simd16 map,1,,,50664013.0,ns,9120664
size=8,simd16 map,1,,,51541248.0,ns,9292752
size=8,simd16 map,1,,,53730092.0,ns,9464840
size=8,simd16 map,1,,,53465618.0,ns,9636928
size=8,simd16 map,1,,,54734490.0,ns,9809016
size=8,simd16 map,1,,,55552047.0,ns,9981104
size=8,simd16 map,1,,,56527852.0,ns,10153192
size=8,simd16 map,1,,,57486575.0,ns,10325280
size=8,simd16 map,1,,,58668130.0,ns,10497368
size=8,simd16 map,1,,,61131986.0,ns,10669456
size=8,simd16 map,1,,,62081123.0,ns,10841544
size=8,simd16 map,1,,,63070859.0,ns,11013632
size=8,simd16 map,1,,,62483314.0,ns,11185720
size=8,simd16 map,1,,,63255923.0,ns,11357808
size=8,simd16 map,1,,,64329052.0,ns,11529896
size=8,simd16 map,1,,,65020061.0,ns,11701984
size=8,simd16 map,1,,,66045840.0,ns,11874072
size=8,simd16 map,1,,,67020372.0,ns,12046160
size=8,simd16 map,1,,,67991197.0,ns,12218248
size=8,simd16 map,1,,,68919616.0,ns,12390336
size=8,simd16 map,1,,,69668111.0,ns,12562424
size=8,simd16 map,1,,,70541451.0,ns,12734512
size=8,simd16 map,1,,,71784789.0,ns,12906600
size=8,simd16 map,1,,,72788026.0,ns,13078688
size=8,simd16 map,1,,,73830870.0,ns,13250776
size=8,simd16 map,1,,,74728636.0,ns,13422864
size=8,simd16 map,1,,,75567754.0,ns,13594952
size=8,simd16 map,1,,,76680639.0,ns,13767040
size=8,simd16 map,1,,,77717830.0,ns,13939128
size=8,simd16 map,1,,,78559702.0,ns,14111216
size=8,simd16 map,1,,,79459032.0,ns,14283304
size=8,simd16 map,1,,,81032341.0,ns,14455392
size=8,simd16 map,1,,,81611873.0,ns,14627480
size=8,simd16 map,1,,,82392230.0,ns,14799568
size=8,simd16 map,1,,,83377805.0,ns,14971656
size=8,simd16 map,1,,,84139681.0,ns,15143744
size=8,simd16 map,1,,,85112795.0,ns,15315832
size=8,simd16 map,1,,,86077824.0,ns,15487920
size=8,simd16 map,1,,,87153876.0,ns,15660008
size=8,simd16 map,1,,,88146786.0,ns,15832096
size=8,simd16 map,1,,,89106110.0,ns,16004184
size=8,simd16 map,1,,,89766666.0,ns,16176272
size=8,simd16 map,1,,,90935394.0,ns,16348360
size=8,simd16 map,1,,,91896105.0,ns,16520448
size=8,simd16 map,1,,,92722872.0,ns,16692536
size=8,simd16 map,1,,,93852189.0,ns,16864624
size=8,simd16 map,1,,,94768067.0,ns,17036712
size=8,simd16 map,1,,,95628039.0,ns,17208800
