group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,simd8 map,10,,,949144.0,ns,172908
size=8,simd8 map,10,,,1915121.0,ns,345816
size=8,simd8 map,10,,,2871765.0,ns,518724
size=8,simd8 map,10,,,3853599.0,ns,691632
size=8,simd8 map,10,,,4744409.0,ns,864540
size=8,simd8 map,10,,,5955204.0,ns,1037448
size=8,simd8 map,10,,,6681186.0,ns,1210356
size=8,simd8 map,10,,,7624821.0,ns,1383264
size=8,simd8 map,10,,,8554145.0,ns,1556172
size=8,simd8 map,10,,,9513370.0,ns,1729080
size=8,simd8 map,10,,,10508669.0,ns,1901988
size=8,simd8 map,10,,,11396916.0,ns,2074896
size=8,simd8 map,10,,,12355791.0,ns,2247804
size=8,simd8 map,10,,,13295164.0,ns,2420712
size=8,simd8 map,10,,,14242512.0,ns,2593620
size=8,simd8 map,10,,,15201713.0,ns,2766528
size=8,simd8 map,10,,,16142200.0,ns,2939436
size=8,simd8 map,10,,,17158558.0,ns,3112344
size=8,simd8 map,10,,,18066812.0,ns,3285252
size=8,simd8 map,10,,,19007743.0,ns,3458160
size=8,simd8 map,10,,,20000691.0,ns,3631068
size=8,simd8 map,10,,,20918442.0,ns,3803976
size=8,simd8 map,10,,,21857404.0,ns,3976884
size=8,simd8 map,10,,,22814037.0,ns,4149792
size=8,simd8 map,10,,,23818771.0,ns,4322700
size=8,simd8 map,10,,,24736784.0,ns,4495608
size=8,simd8 map,10,,,25611913.0,ns,4668516
size=8,simd8 map,10,,,26907595.0,ns,4841424
size=8,simd8 map,10,,,27501412.0,ns,5014332
size=8,simd8 map,10,,,28519191.0,ns,5187240
size=8,simd8 map,10,,,29464525.0,ns,5360148
size=8,simd8 map,10,,,30473713.0,ns,5533056
size=8,simd8 map,10,,,31380216.0,ns,5705964
size=8,simd8 map,10,,,32174208.0,ns,5878872
size=8,simd8 map,10,,,33316901.0,ns,6051780
size=8,simd8 map,10,,,34215405.0,ns,6224688
size=8,simd8 map,10,,,35162302.0,ns,6397596
size=8,simd8 map,10,,,36140861.0,ns,6570504
size=8,simd8 map,10,,,36990361.0,ns,6743412
size=8,simd8 map,10,,,37972541.0,ns,6916320
size=8,simd8 map,10,,,38967341.0,ns,7089228
size=8,simd8 map,10,,,39921400.0,ns,7262136
size=8,simd8 map,10,,,41061916.0,ns,7435044
size=8,simd8 map,10,,,41828297.0,ns,7607952
size=8,simd8 map,10,,,42791612.0,ns,7780860
size=8,simd8 map,10,,,43756460.0,ns,7953768
size=8,simd8 map,10,,,44730176.0,ns,8126676
size=8,simd8 map,10,,,45588222.0,ns,8299584
size=8,simd8 map,10,,,46413941.0,ns,8472492
size=8,simd8 map,10,,,47496935.0,ns,8645400
size=8,simd8 map,10,,,48466116.0,ns,8818308
size=8,simd8 map,10,,,49406821.0,ns,8991216
size=8,simd8 map,10,,,50362173.0,ns,9164124
size=8,simd8 map,10,,,51359290.0,ns,9337032
size=8,simd8 map,10,,,52229063.0,ns,9509940
size=8,simd8 map,10,,,53446655.0,ns,9682848
size=8,simd8 map,10,,,55688415.0,ns,9855756
size=8,simd8 map,10,,,56374195.0,ns,10028664
size=8,simd8 map,10,,,56099118.0,ns,10201572
size=8,simd8 map,10,,,57640719.0,ns,10374480
size=8,simd8 map,10,,,59553650.0,ns,10547388
size=8,simd8 map,10,,,60572742.0,ns,10720296
size=8,simd8 map,10,,,61612551.0,ns,10893204
size=8,simd8 map,10,,,61642305.0,ns,11066112
size=8,simd8 map,10,,,61703128.0,ns,11239020
size=8,simd8 map,10,,,62509005.0,ns,11411928
size=8,simd8 map,10,,,63612480.0,ns,11584836
size=8,simd8 map,10,,,64630590.0,ns,11757744
size=8,simd8 map,10,,,65590666.0,ns,11930652
size=8,simd8 map,10,,,66788511.0,ns,12103560
size=8,simd8 map,10,,,67634098.0,ns,12276468
size=8,simd8 map,10,,,68469960.0,ns,12449376
size=8,simd8 map,10,,,69370866.0,ns,12622284
size=8,simd8 map,10,,,70305109.0,ns,12795192
size=8,simd8 map,10,,,71245036.0,ns,12968100
size=8,simd8 map,10,,,72215266.0,ns,13141008
size=8,simd8 map,10,,,73245012.0,ns,13313916
size=8,simd8 map,10,,,74224845.0,ns,13486824
size=8,simd8 map,10,,,74992042.0,ns,13659732
size=8,simd8 map,10,,,76028310.0,ns,13832640
size=8,simd8 map,10,,,76919503.0,ns,14005548
size=8,simd8 map,10,,,77915620.0,ns,14178456
size=8,simd8 map,10,,,78718091.0,ns,14351364
size=8,simd8 map,10,,,80066999.0,ns,14524272
size=8,simd8 map,10,,,80615375.0,ns,14697180
size=8,simd8 map,10,,,81797762.0,ns,14870088
size=8,simd8 map,10,,,82708939.0,ns,15042996
size=8,simd8 map,10,,,81789599.0,ns,15215904
size=8,simd8 map,10,,,82247976.0,ns,15388812
size=8,simd8 map,10,,,83504593.0,ns,15561720
size=8,simd8 map,10,,,84141532.0,ns,15734628
size=8,simd8 map,10,,,85094189.0,ns,15907536
size=8,simd8 map,10,,,85892875.0,ns,16080444
size=8,simd8 map,10,,,86771070.0,ns,16253352
size=8,simd8 map,10,,,88253009.0,ns,16426260
size=8,simd8 map,10,,,89377266.0,ns,16599168
size=8,simd8 map,10,,,93525058.0,ns,16772076
size=8,simd8 map,10,,,90737789.0,ns,16944984
size=8,simd8 map,10,,,91608762.0,ns,17117892
size=8,simd8 map,10,,,94832813.0,ns,17290800
